"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"2205",2205,"K. Diks",21,"https://cdn.sofifa.com/players/224/841/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",72,79,"Fiorentina","https://cdn.sofifa.com/teams/110374/light_60.png","€3.7M","€23K",1763,"Right",1,3,3,"High/ Medium","RB",34,"2021",185,70,"56+2","56+2","56+2","60+2","58+2","58+2","58+2","60+2","58+2","58+2","58+2","62+2","62+2","62+2","62+2","62+2","70+2","69+2","69+2","69+2","70+2","70+2","71+2","71+2","71+2","70+2",62,23,65,70,36,66,42,30,63,73,75,75,71,65,66,58,73,76,69,57,77,74,54,31,42,62,70,73,71,7,15,9,10,15,"Serie A","Italy",3700000,23000,"Defender","K. Diks, RB",73.6666666666667,NA
"2206",2206,"K. Djidji",25,"https://cdn.sofifa.com/players/203/884/20_120.png","Ivory Coast","https://cdn.sofifa.org/flags/108.png",74,76,"Torino","https://cdn.sofifa.com/teams/54/light_60.png","€5.5M","€19K",1641,"Right",1,3,2,"Low/ High","CB",30,"Jun 30, 2019",183,81,"51+2","51+2","51+2","55+2","53+2","53+2","53+2","55+2","56+2","56+2","56+2","58+2","61+2","61+2","61+2","58+2","67+2","70+2","70+2","70+2","67+2","69+2","72+2","72+2","72+2","69+2",46,26,70,71,26,62,28,32,70,71,73,69,62,69,66,38,72,62,73,22,73,73,35,42,41,70,72,76,75,15,7,7,8,9,"Serie A","Italy",5500000,19000,"Defender","K. Djidji, CB",68,NA
"2207",2207,"K. Dolberg",20,"https://cdn.sofifa.com/players/228/687/20_120.png","Denmark","https://cdn.sofifa.org/flags/13.png",76,85,"Ajax","https://cdn.sofifa.com/teams/245/light_60.png","€12M","€15K",1816,"Right",2,4,3,"Medium/ Low","ST",12,"2022",188,83,"75+2","75+2","75+2","71+2","74+2","74+2","74+2","71+2","72+2","72+2","72+2","69+2","65+2","65+2","65+2","69+2","49+2","49+2","49+2","49+2","49+2","47+2","43+2","43+2","43+2","47+2",42,76,70,69,74,75,67,70,54,78,72,77,75,72,67,87,71,70,76,77,38,21,72,69,75,77,28,24,19,7,15,13,9,7,"Eredivisie","Netherlands",12000000,15000,"Forward","K. Dolberg, ST",74.6666666666667,NA
"2208",2208,"K. Dolly",25,"https://cdn.sofifa.com/players/225/139/20_120.png","South Africa","https://cdn.sofifa.org/flags/140.png",74,77,"Montpellier HSC","https://cdn.sofifa.com/teams/70/light_60.png","€7M","€21K",1813,"Left",1,4,3,"High/ High","CAM",20,"2021",170,70,"63+2","63+2","63+2","73+2","70+2","70+2","70+2","73+2","72+2","72+2","72+2","72+2","67+2","67+2","67+2","72+2","56+2","54+2","54+2","54+2","56+2","52+2","43+2","43+2","43+2","52+2",71,66,23,74,60,76,70,68,70,75,84,77,83,67,90,60,67,60,45,74,59,28,65,72,54,66,55,32,24,15,12,12,13,12,"Ligue 1","France",7000000,21000,"Midfielder","K. Dolly, CAM",81.3333333333333,NA
"2209",2209,"K. Dowell",20,"https://cdn.sofifa.com/players/226/401/20_120.png","England","https://cdn.sofifa.org/flags/14.png",70,83,"Everton","https://cdn.sofifa.com/teams/7/light_60.png","€3.4M","€31K",1753,"Left",1,3,3,"Medium/ Low","CAM",28,"2021",185,80,"65+2","65+2","65+2","68+2","68+2","68+2","68+2","68+2","69+2","69+2","69+2","67+2","65+2","65+2","65+2","67+2","56+2","55+2","55+2","55+2","56+2","54+2","49+2","49+2","49+2","54+2",64,68,52,71,58,74,60,69,67,71,63,64,69,60,71,68,48,52,56,73,48,33,64,73,64,70,45,46,52,8,13,7,14,8,"Premier League","UK",3400000,31000,"Midfielder","K. Dowell, CAM",65.3333333333333,NA
"2210",2210,"K. Ehizibue",23,"https://cdn.sofifa.com/players/225/669/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",70,75,"PEC Zwolle","https://cdn.sofifa.com/teams/1914/light_60.png","€2M","€5K",1897,"Right",1,2,3,"High/ Medium","RB",20,"2020",188,82,"68+2","68+2","68+2","69+2","69+2","69+2","69+2","69+2","68+2","68+2","68+2","70+2","67+2","67+2","67+2","70+2","69+2","68+2","68+2","68+2","69+2","69+2","68+2","68+2","68+2","69+2",60,61,65,65,42,74,52,38,66,72,85,87,70,66,56,72,74,86,80,60,82,64,66,62,44,70,64,65,67,13,10,7,11,11,"Eredivisie","Netherlands",2000000,5000,"Defender","K. Ehizibue, RB",80.6666666666667,NA
"2211",2211,"K. Engbers",18,"https://cdn.sofifa.com/players/244/199/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",57,68,"FC Emmen","https://cdn.sofifa.com/teams/100628/light_60.png","€140K","€1K",1309,"Right",1,3,2,"Medium/ Medium","CB",21,"2019",185,78,"41+2","41+2","41+2","40+2","40+2","40+2","40+2","40+2","39+2","39+2","39+2","42+2","42+2","42+2","42+2","42+2","50+2","50+2","50+2","50+2","50+2","52+2","56+2","56+2","56+2","52+2",32,23,54,51,30,46,32,30,38,41,57,59,44,47,44,39,62,57,76,24,47,56,31,28,41,46,52,59,57,8,13,13,8,10,"Eredivisie","Netherlands",140000,1000,"Defender","K. Engbers, CB",53.3333333333333,NA
"2212",2212,"K. Erasmus",27,"https://cdn.sofifa.com/players/182/528/20_120.png","South Africa","https://cdn.sofifa.org/flags/140.png",69,69,"Vitória de Setúbal","https://cdn.sofifa.com/teams/665/light_60.png","€1.1M","€4K",1732,"Right",1,3,3,"Medium/ Medium","ST",95,"2021",168,63,"68+2","68+2","68+2","68+2","68+2","68+2","68+2","68+2","67+2","67+2","67+2","66+2","59+2","59+2","59+2","66+2","50+2","46+2","46+2","46+2","50+2","47+2","40+2","40+2","40+2","47+2",56,70,66,66,69,69,65,64,41,68,79,74,77,65,80,72,54,72,53,69,58,24,67,65,70,66,13,34,19,16,7,12,10,8,"Liga Nos","Portugal",1100000,4000,"Forward","K. Erasmus, ST",76.6666666666667,NA
"2213",2213,"K. Flanagan",18,"https://cdn.sofifa.com/players/236/358/20_120.png","Republic of Ireland","https://cdn.sofifa.org/flags/25.png",57,75,"Crystal Palace","https://cdn.sofifa.com/teams/1799/light_60.png","€210K","€3K",1459,"Right",1,3,3,"High/ Low","CAM",37,"2019",178,72,"50+2","50+2","50+2","54+2","53+2","53+2","53+2","54+2","56+2","56+2","56+2","54+2","52+2","52+2","52+2","54+2","45+2","46+2","46+2","46+2","45+2","44+2","43+2","43+2","43+2","44+2",45,43,44,55,52,57,49,45,56,59,71,62,72,53,67,51,52,31,53,40,41,34,41,68,44,60,33,45,34,13,11,12,13,13,"Premier League","UK",210000,3000,"Midfielder","K. Flanagan, CAM",68.3333333333333,NA
"2214",2214,"K. Frei",24,"https://cdn.sofifa.com/players/204/247/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",73,76,"Medipol Başakşehir FK","https://cdn.sofifa.com/teams/101014/light_60.png","€5M","€17K",1852,"Right",1,4,3,"High/ Medium","LM",29,"2021",170,70,"66+2","66+2","66+2","73+2","71+2","71+2","71+2","73+2","71+2","71+2","71+2","72+2","65+2","65+2","65+2","72+2","58+2","53+2","53+2","53+2","58+2","54+2","44+2","44+2","44+2","54+2",71,68,38,68,62,77,70,68,68,75,90,89,91,65,92,70,72,63,44,71,59,46,65,64,67,70,34,30,27,9,12,7,13,7,"Süper Lig","Turkey",5000000,17000,"Midfielder","K. Frei, LM",90,NA
"2215",2215,"K. Froese",22,"https://cdn.sofifa.com/players/225/545/20_120.png","Canada","https://cdn.sofifa.org/flags/70.png",63,70,"Fortuna Düsseldorf","https://cdn.sofifa.com/teams/110636/light_60.png","€525K","€5K",1711,"Right",1,2,3,"High/ Medium","CAM",40,"2019",178,77,"59+2","59+2","59+2","61+2","61+2","61+2","61+2","61+2","61+2","61+2","61+2","61+2","60+2","60+2","60+2","61+2","60+2","60+2","60+2","60+2","60+2","59+2","58+2","58+2","58+2","59+2",49,56,50,68,44,62,59,35,56,63,69,67,78,62,76,62,64,69,60,55,64,56,59,55,43,45,58,60,54,15,10,8,12,13,"Bundesliga","Germany",525000,5000,"Midfielder","K. Froese, CAM",71.3333333333333,NA
"2216",2216,"K. Gameiro",31,"https://cdn.sofifa.com/players/176/600/20_120.png","France","https://cdn.sofifa.org/flags/18.png",80,80,"Valencia CF","https://cdn.sofifa.com/teams/461/light_60.png","€13.5M","€45K",2037,"Right",3,3,3,"Medium/ Medium","ST",9,"2021",173,70,"78+3","78+3","78+3","78+3","79+3","79+3","79+3","78+3","78+3","78+3","78+3","78+3","72+3","72+3","72+3","78+3","63+3","60+3","60+3","60+3","63+3","60+3","54+3","54+3","54+3","60+3",70,78,67,79,78,75,76,70,72,79,86,85,81,80,77,82,85,75,64,73,66,38,85,75,81,82,50,33,39,6,10,8,8,6,"La Liga","Spain",13500000,45000,"Forward","K. Gameiro, ST",84,NA
"2217",2217,"K. Glik",30,"https://cdn.sofifa.com/players/190/547/20_120.png","Poland","https://cdn.sofifa.org/flags/37.png",83,83,"AS Monaco","https://cdn.sofifa.com/teams/69/light_60.png","€19M","€86K",1582,"Right",3,2,2,"Low/ Medium","RCB",15,"2021",190,80,"51+3","51+3","51+3","44+3","47+3","47+3","47+3","44+3","46+3","46+3","46+3","48+3","54+3","54+3","54+3","48+3","66+3","72+3","72+3","72+3","66+3","69+3","81+3","81+3","81+3","69+3",29,27,85,63,17,51,35,26,59,59,50,52,34,78,51,57,81,67,90,20,86,83,24,23,39,79,82,85,82,10,14,5,8,10,"Ligue 1","France",19000000,86000,"Defender","K. Glik, RCB",45.3333333333333,NA
"2218",2218,"K. Goden",19,"https://cdn.sofifa.com/players/244/708/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",62,75,"1. FC Nürnberg","https://cdn.sofifa.com/teams/171/light_60.png","€500K","€2K",1542,"Right",1,2,2,"Medium/ Medium","RB",2,"2021",183,78,"50+2","50+2","50+2","54+2","51+2","51+2","51+2","54+2","51+2","51+2","51+2","55+2","51+2","51+2","51+2","55+2","60+2","56+2","56+2","56+2","60+2","61+2","58+2","58+2","58+2","61+2",60,36,55,57,33,56,50,41,39,60,69,75,64,50,65,43,63,66,53,34,58,58,47,41,38,55,57,64,64,7,9,10,12,8,"Bundesliga","Germany",500000,2000,"Defender","K. Goden, RB",69.3333333333333,NA
"2219",2219,"K. Gorré",23,"https://cdn.sofifa.com/players/213/694/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",68,73,"CD Nacional","https://cdn.sofifa.com/teams/1891/light_60.png","€1.2M","€5K",1699,"Right",1,2,3,"High/ Medium","LW",11,"2021",178,71,"64+2","64+2","64+2","67+2","67+2","67+2","67+2","67+2","66+2","66+2","66+2","66+2","61+2","61+2","61+2","66+2","54+2","50+2","50+2","50+2","54+2","51+2","43+2","43+2","43+2","51+2",60,62,37,63,58,71,64,60,50,70,75,78,76,67,72,72,48,66,67,68,43,36,64,64,58,54,27,36,33,7,16,8,13,10,"Liga Nos","Portugal",1200000,5000,"Forward","K. Gorré, LW",76.3333333333333,NA
"2220",2220,"K. Grabara",19,"https://cdn.sofifa.com/players/228/383/20_120.png","Poland","https://cdn.sofifa.org/flags/37.png",59,76,"Liverpool","https://cdn.sofifa.com/teams/9/light_60.png","€280K","€3K",969,"Right",1,3,1,"Medium/ Medium","GK",73,"2022",190,75,"","","","","","","","","","","","","","","","","","","","","","","","","","",18,13,12,31,13,19,17,19,19,15,40,38,38,56,41,21,52,29,50,14,26,14,5,30,17,50,5,19,13,60,57,52,56,60,"Premier League","UK",280000,3000,"Goal Keeper","K. Grabara, GK",38.6666666666667,NA
"2221",2221,"K. Günter",23,"https://cdn.sofifa.com/players/204/451/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",70,75,"Genoa","https://cdn.sofifa.com/teams/110556/light_60.png","€2M","€8K",1592,"Right",1,3,2,"Low/ High","CB",3,"2022",183,79,"49+2","49+2","49+2","51+2","51+2","51+2","51+2","51+2","55+2","55+2","55+2","54+2","60+2","60+2","60+2","54+2","62+2","67+2","67+2","67+2","62+2","63+2","69+2","69+2","69+2","63+2",32,23,69,69,28,56,21,26,72,61,61,68,61,66,60,50,75,65,75,31,69,68,31,59,37,60,69,70,68,13,10,10,9,10,"Serie A","Italy",2000000,8000,"Defender","K. Günter, CB",63.3333333333333,NA
"2222",2222,"K. Hafez",22,"https://cdn.sofifa.com/players/224/198/20_120.png","Egypt","https://cdn.sofifa.org/flags/111.png",66,73,"Medipol Başakşehir FK","https://cdn.sofifa.com/teams/101014/light_60.png","€750K","€6K",1724,"Left",1,4,3,"Medium/ Medium","LB",30,"2023",175,73,"53+2","53+2","53+2","58+2","56+2","56+2","56+2","58+2","57+2","57+2","57+2","60+2","58+2","58+2","58+2","60+2","65+2","62+2","62+2","62+2","65+2","65+2","63+2","63+2","63+2","65+2",65,24,59,60,22,63,64,62,57,63,76,79,66,60,76,59,60,69,67,53,65,62,53,52,38,55,70,64,62,7,13,16,11,7,"Süper Lig","Turkey",750000,6000,"Defender","K. Hafez, LB",73.6666666666667,NA
"2223",2223,"K. Hansen",17,"https://cdn.sofifa.com/players/241/422/20_120.png","Norway","https://cdn.sofifa.org/flags/36.png",59,72,"Southampton","https://cdn.sofifa.com/teams/17/light_60.png","€270K","€3K",1502,"Left",1,3,3,"High/ Low","CAM",48,"2019",180,75,"55+2","55+2","55+2","58+2","58+2","58+2","58+2","58+2","58+2","58+2","58+2","58+2","55+2","55+2","55+2","58+2","48+2","47+2","47+2","47+2","48+2","46+2","42+2","42+2","42+2","46+2",54,52,41,60,49,66,58,48,56,70,60,57,55,54,65,63,50,44,55,45,45,30,50,54,57,64,24,42,43,9,14,7,11,14,"Premier League","UK",270000,3000,"Midfielder","K. Hansen, CAM",57.3333333333333,NA
"2224",2224,"K. Harris",25,"https://cdn.sofifa.com/players/197/170/20_120.png","England","https://cdn.sofifa.org/flags/14.png",65,68,"Cardiff City","https://cdn.sofifa.com/teams/1961/light_60.png","€675K","€11K",1508,"Right",1,3,3,"High/ Medium","LM",23,"2019",175,68,"56+2","56+2","56+2","64+2","61+2","61+2","61+2","64+2","61+2","61+2","61+2","64+2","55+2","55+2","55+2","64+2","51+2","45+2","45+2","45+2","51+2","47+2","37+2","37+2","37+2","47+2",61,54,29,63,18,71,34,25,52,68,86,78,86,56,87,53,75,67,58,49,33,29,55,48,40,49,25,26,28,7,14,9,14,10,"Premier League","UK",675000,11000,"Midfielder","K. Harris, LM",83.3333333333333,NA
"2225",2225,"K. Hause",22,"https://cdn.sofifa.com/players/210/635/20_120.png","England","https://cdn.sofifa.org/flags/14.png",67,78,"Wolverhampton Wanderers","https://cdn.sofifa.com/teams/110/light_60.png","€1.1M","€16K",1624,"Left",1,3,2,"Medium/ Medium","CB",30,"2021",190,93,"52+2","52+2","52+2","52+2","52+2","52+2","52+2","52+2","53+2","53+2","53+2","54+2","57+2","57+2","57+2","54+2","61+2","63+2","63+2","63+2","61+2","62+2","66+2","66+2","66+2","62+2",52,35,58,64,31,53,32,26,63,55,60,65,55,62,56,70,71,60,83,50,58,63,32,56,40,54,66,70,69,15,16,14,10,14,"Premier League","UK",1100000,16000,"Defender","K. Hause, CB",60,NA
"2226",2226,"K. Havertz",19,"https://cdn.sofifa.com/players/235/790/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",80,89,"Bayer 04 Leverkusen","https://cdn.sofifa.com/teams/32/light_60.png","€22M","€32K",1876,"Left",1,5,4,"Medium/ Medium","CAM",29,"2022",188,83,"74+2","74+2","74+2","78+2","78+2","78+2","78+2","78+2","79+2","79+2","79+2","78+2","74+2","74+2","74+2","78+2","61+2","58+2","58+2","58+2","61+2","58+2","49+2","49+2","49+2","58+2",69,72,65,82,71,81,65,53,73,83,77,86,78,78,71,66,69,73,61,66,40,32,78,83,49,80,28,42,38,6,8,11,10,12,"Bundesliga","Germany",22000000,32000,"Midfielder","K. Havertz, CAM",80.3333333333333,NA
"2227",2227,"K. Heerings",28,"https://cdn.sofifa.com/players/205/672/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",66,66,"Fortuna Sittard","https://cdn.sofifa.com/teams/634/light_60.png","€525K","€3K",1459,"Left",1,2,2,"Low/ High","CB",4,"2019",190,81,"43+2","43+2","43+2","41+2","42+2","42+2","42+2","41+2","45+2","45+2","45+2","44+2","52+2","52+2","52+2","44+2","54+2","61+2","61+2","61+2","54+2","56+2","64+2","64+2","64+2","56+2",28,25,66,61,30,44,33,33,66,49,32,46,51,59,47,42,83,67,80,30,62,61,26,41,40,64,64,66,64,12,11,14,11,15,"Eredivisie","Netherlands",525000,3000,"Defender","K. Heerings, CB",43,NA
"2228",2228,"K. Huntelaar",34,"https://cdn.sofifa.com/players/148/803/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",77,77,"Ajax","https://cdn.sofifa.com/teams/245/light_60.png","€4.7M","€20K",1792,"Right",3,4,2,"Medium/ Medium","ST",9,"2019",185,83,"74+3","74+3","74+3","68+3","71+3","71+3","71+3","68+3","68+3","68+3","68+3","65+3","61+3","61+3","61+3","65+3","50+3","50+3","50+3","50+3","50+3","48+3","49+3","49+3","49+3","48+3",63,80,79,68,81,62,72,66,44,69,50,57,58,79,62,80,77,53,78,73,69,27,84,66,62,81,32,33,23,7,12,6,9,11,"Eredivisie","Netherlands",4700000,20000,"Forward","K. Huntelaar, ST",55,NA
"2229",2229,"K. Huntelaar",19,"https://cdn.sofifa.com/players/244/405/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",59,70,"De Graafschap","https://cdn.sofifa.com/teams/635/light_60.png","€260K","€1K",1573,"Right",1,3,2,"Medium/ Medium","CM",36,"2019",185,71,"53+2","53+2","53+2","56+2","56+2","56+2","56+2","56+2","58+2","58+2","58+2","57+2","58+2","58+2","58+2","57+2","55+2","55+2","55+2","55+2","55+2","54+2","53+2","53+2","53+2","54+2",49,36,53,65,45,59,42,40,60,62,61,63,65,56,61,59,55,55,59,44,58,48,53,63,54,53,38,54,59,14,7,13,11,12,"Eredivisie","Netherlands",260000,1000,"Midfielder","K. Huntelaar, CM",63,NA
"2230",2230,"K. Iheanacho",21,"https://cdn.sofifa.com/players/225/719/20_120.png","Nigeria","https://cdn.sofifa.org/flags/133.png",75,83,"Leicester City","https://cdn.sofifa.com/teams/95/light_60.png","€10M","€45K",1811,"Left",1,3,4,"Medium/ Medium","ST",8,"2022",183,80,"73+2","73+2","73+2","72+2","74+2","74+2","74+2","72+2","72+2","72+2","72+2","70+2","65+2","65+2","65+2","70+2","51+2","50+2","50+2","50+2","51+2","48+2","43+2","43+2","43+2","48+2",49,77,60,67,73,77,69,64,61,76,78,78,72,71,68,75,62,69,70,72,61,21,79,65,73,71,28,25,23,8,7,7,11,15,"Premier League","UK",10000000,45000,"Forward","K. Iheanacho, ST",76,NA
"2231",2231,"K. Jakob",20,"https://cdn.sofifa.com/players/236/675/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",62,76,"FC Augsburg","https://cdn.sofifa.com/teams/100409/light_60.png","€600K","€3K",1566,"Left",1,3,2,"Medium/ Medium","LB",25,"2022",183,74,"50+2","50+2","50+2","54+2","52+2","52+2","52+2","54+2","54+2","54+2","54+2","56+2","55+2","55+2","55+2","56+2","60+2","58+2","58+2","58+2","60+2","60+2","58+2","58+2","58+2","60+2",58,29,59,64,35,57,43,39,54,66,69,67,69,58,66,46,58,67,59,41,61,59,40,41,43,46,55,56,58,14,7,14,6,8,"Bundesliga","Germany",600000,3000,"Defender","K. Jakob, LB",68.3333333333333,NA
"2232",2232,"K. Johnsson",28,"https://cdn.sofifa.com/players/190/120/20_120.png","Sweden","https://cdn.sofifa.org/flags/46.png",74,74,"En Avant de Guingamp","https://cdn.sofifa.com/teams/62/light_60.png","€4M","€16K",1199,"Right",1,2,1,"Medium/ Medium","GK",12,"2020",188,84,"","","","","","","","","","","","","","","","","","","","","","","","","","",11,13,19,26,19,16,12,11,38,22,50,49,45,64,32,21,72,45,69,13,35,20,16,49,17,56,15,14,12,75,70,76,76,77,"Ligue 1","France",4000000,16000,"Goal Keeper","K. Johnsson, GK",48,NA
"2233",2233,"K. Kaïboue",19,"https://cdn.sofifa.com/players/244/542/20_120.png","France","https://cdn.sofifa.org/flags/18.png",59,71,"Montpellier HSC","https://cdn.sofifa.com/teams/70/light_60.png","€240K","€1K",1535,"Left",1,3,2,"Medium/ Medium","CDM",21,"2021",183,65,"49+2","49+2","49+2","50+2","50+2","50+2","50+2","50+2","51+2","51+2","51+2","52+2","53+2","53+2","53+2","52+2","57+2","57+2","57+2","57+2","57+2","58+2","58+2","58+2","58+2","58+2",48,39,60,61,36,52,45,46,59,58,53,63,59,60,65,57,61,54,45,37,62,53,35,41,47,46,64,60,64,7,15,15,6,8,"Ligue 1","France",240000,1000,"Midfielder","K. Kaïboue, CDM",58.3333333333333,NA
"2234",2234,"K. Kampl",27,"https://cdn.sofifa.com/players/195/365/20_120.png","Slovenia","https://cdn.sofifa.org/flags/44.png",83,83,"RB Leipzig","https://cdn.sofifa.com/teams/112172/light_60.png","€26.5M","€74K",2076,"Right",2,4,3,"High/ High","LCM",44,"2021",178,67,"69+2","69+2","69+2","79+2","77+2","77+2","77+2","79+2","80+2","80+2","80+2","79+2","80+2","80+2","80+2","79+2","75+2","74+2","74+2","74+2","75+2","72+2","63+2","63+2","63+2","72+2",72,63,34,84,68,86,78,75,79,84,84,71,91,84,80,69,67,88,47,73,64,75,73,82,64,83,65,64,59,13,11,7,6,16,"Bundesliga","Germany",26500000,74000,"Midfielder","K. Kampl, LCM",82,NA
"2235",2235,"K. Kanak",27,"https://cdn.sofifa.com/players/194/907/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",68,68,"Alanyaspor","https://cdn.sofifa.com/teams/113142/light_60.png","€750K","€6K",1898,"Left",1,3,3,"Medium/ Medium","LB",17,"2020",173,64,"64+2","64+2","64+2","70+2","67+2","67+2","67+2","70+2","66+2","66+2","66+2","68+2","63+2","63+2","63+2","68+2","68+2","63+2","63+2","63+2","68+2","67+2","61+2","61+2","61+2","67+2",71,62,32,61,54,74,59,54,50,72,83,84,82,67,84,70,66,76,62,71,68,62,66,54,59,66,63,66,64,11,13,7,16,15,"Süper Lig","Turkey",750000,6000,"Defender","K. Kanak, LB",83,NA
"2236",2236,"K. Kanatsızkuş",21,"https://cdn.sofifa.com/players/232/329/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",70,77,"MKE Ankaragücü","https://cdn.sofifa.com/teams/101007/light_60.png","€2.6M","€8K",1636,"Left",1,3,3,"Medium/ Medium","ST",18,"May 31, 2019",190,79,"68+2","68+2","68+2","64+2","67+2","67+2","67+2","64+2","66+2","66+2","66+2","63+2","60+2","60+2","60+2","63+2","43+2","44+2","44+2","44+2","43+2","40+2","39+2","39+2","39+2","40+2",34,68,72,66,68,70,62,50,55,70,64,66,61,65,65,69,66,70,76,63,53,16,70,64,57,68,16,14,14,6,10,13,14,9,"Süper Lig","Turkey",2600000,8000,"Forward","K. Kanatsızkuş, ST",63.6666666666667,NA
"2237",2237,"K. Karaman",24,"https://cdn.sofifa.com/players/212/240/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",72,76,"Fortuna Düsseldorf","https://cdn.sofifa.com/teams/110636/light_60.png","€4.1M","€18K",1726,"Right",1,3,3,"Medium/ Medium","LM",11,"2021",188,83,"71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","70+2","70+2","70+2","70+2","63+2","63+2","63+2","70+2","52+2","49+2","49+2","49+2","52+2","48+2","44+2","44+2","44+2","48+2",69,72,68,71,56,74,45,28,53,75,73,71,74,69,66,74,80,72,69,70,64,22,72,63,56,52,24,24,18,6,12,13,8,15,"Bundesliga","Germany",4100000,18000,"Midfielder","K. Karaman, LM",72.6666666666667,NA
"2238",2238,"K. Karami",28,"https://cdn.sofifa.com/players/215/528/20_120.png","Morocco","https://cdn.sofifa.org/flags/129.png",67,67,"Vitesse","https://cdn.sofifa.com/teams/1909/light_60.png","€600K","€5K",1740,"Right",1,4,3,"Medium/ Medium","RB",2,"2020",180,73,"58+2","58+2","58+2","62+2","60+2","60+2","60+2","62+2","59+2","59+2","59+2","63+2","59+2","59+2","59+2","63+2","66+2","63+2","63+2","63+2","66+2","66+2","64+2","64+2","64+2","66+2",67,52,51,53,38,70,46,31,58,63,76,76,73,63,74,57,62,71,63,46,72,70,58,52,41,68,68,68,64,13,15,13,7,9,"Eredivisie","Netherlands",600000,5000,"Defender","K. Karami, RB",75,NA
"2239",2239,"K. Keleş",30,"https://cdn.sofifa.com/players/223/132/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",68,68,"Akhisar Belediyespor","https://cdn.sofifa.com/teams/111340/light_60.png","€650K","€7K",1783,"Left",1,3,2,"High/ Medium","LB",89,"2019",175,67,"59+2","59+2","59+2","63+2","61+2","61+2","61+2","63+2","61+2","61+2","61+2","63+2","60+2","60+2","60+2","63+2","67+2","62+2","62+2","62+2","67+2","66+2","61+2","61+2","61+2","66+2",63,49,49,64,48,67,64,50,50,62,73,77,79,67,78,60,72,82,41,56,62,64,65,48,44,58,65,66,65,9,8,16,12,8,"Süper Lig","Turkey",650000,7000,"Defender","K. Keleş, LB",76.3333333333333,NA
"2240",2240,"K. Kesgin",17,"https://cdn.sofifa.com/players/242/994/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",58,74,"Göztepe SK","https://cdn.sofifa.com/teams/101026/light_60.png","€250K","€2K",1669,"Right",1,2,2,"Medium/ Low","CM",60,"2020",178,76,"55+2","55+2","55+2","57+2","56+2","56+2","56+2","57+2","57+2","57+2","57+2","57+2","56+2","56+2","56+2","57+2","55+2","55+2","55+2","55+2","55+2","55+2","55+2","55+2","55+2","55+2",51,46,54,63,52,58,62,48,60,60,64,67,83,60,80,51,71,57,70,45,62,45,56,50,47,44,49,50,57,14,13,5,13,6,"Süper Lig","Turkey",250000,2000,"Midfielder","K. Kesgin, CM",71.3333333333333,NA
"2241",2241,"K. Koulibaly",27,"https://cdn.sofifa.com/players/201/024/20_120.png","Senegal","https://cdn.sofifa.org/flags/136.png",87,90,"Napoli","https://cdn.sofifa.com/teams/48/light_60.png","€51M","€115K",1660,"Right",3,3,2,"High/ High","LCB",26,"2021",188,89,"52+3","52+3","52+3","51+3","52+3","52+3","52+3","51+3","52+3","52+3","52+3","55+3","58+3","58+3","58+3","55+3","71+3","75+3","75+3","75+3","71+3","75+3","84+3","84+3","84+3","75+3",30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5,"Serie A","Italy",51000000,115000,"Defender","K. Koulibaly, LCB",64.3333333333333,NA
